callback,npu_id=3,curr_cycle=10066,node_id=3661,node_name=COMM_RECV_NODE_FWD_iter0_b1_dp1pp1tp0
issue,npu_id=0,curr_cycle=15099,node_id=275,node_name=COMM_RECV_NODE_BCKWD_iter0_b3_dp0pp0tp0
issue,npu_id=0,curr_cycle=15099,node_id=679,node_name=COMM_RECV_NODE_BCKWD_iter1_b3_dp0pp0tp0
issue,npu_id=0,curr_cycle=15099,node_id=1083,node_name=COMM_RECV_NODE_BCKWD_iter2_b3_dp0pp0tp0
issue,npu_id=1,curr_cycle=15099,node_id=1287,node_name=COMM_RECV_NODE_FWD_iter0_b3_dp0pp1tp0
issue,npu_id=2,curr_cycle=15099,node_id=2699,node_name=COMM_RECV_NODE_BCKWD_iter0_b3_dp1pp0tp0
issue,npu_id=2,curr_cycle=15099,node_id=3103,node_name=COMM_RECV_NODE_BCKWD_iter1_b3_dp1pp0tp0
issue,npu_id=2,curr_cycle=15099,node_id=3507,node_name=COMM_RECV_NODE_BCKWD_iter2_b3_dp1pp0tp0
issue,npu_id=3,curr_cycle=15099,node_id=3711,node_name=COMM_RECV_NODE_FWD_iter0_b3_dp1pp1tp0
callback,npu_id=0,curr_cycle=15099,node_id=250,node_name=COMM_RECV_NODE_BCKWD_iter0_b2_dp0pp0tp0
callback,npu_id=0,curr_cycle=15099,node_id=654,node_name=COMM_RECV_NODE_BCKWD_iter1_b2_dp0pp0tp0
callback,npu_id=0,curr_cycle=15099,node_id=1058,node_name=COMM_RECV_NODE_BCKWD_iter2_b2_dp0pp0tp0
callback,npu_id=1,curr_cycle=15099,node_id=1262,node_name=COMM_RECV_NODE_FWD_iter0_b2_dp0pp1tp0
callback,npu_id=2,curr_cycle=15099,node_id=2674,node_name=COMM_RECV_NODE_BCKWD_iter0_b2_dp1pp0tp0
callback,npu_id=2,curr_cycle=15099,node_id=3078,node_name=COMM_RECV_NODE_BCKWD_iter1_b2_dp1pp0tp0
callback,npu_id=2,curr_cycle=15099,node_id=3482,node_name=COMM_RECV_NODE_BCKWD_iter2_b2_dp1pp0tp0
callback,npu_id=3,curr_cycle=15099,node_id=3686,node_name=COMM_RECV_NODE_FWD_iter0_b2_dp1pp1tp0
issue,npu_id=0,curr_cycle=20132,node_id=300,node_name=COMM_RECV_NODE_BCKWD_iter0_b4_dp0pp0tp0
issue,npu_id=0,curr_cycle=20132,node_id=704,node_name=COMM_RECV_NODE_BCKWD_iter1_b4_dp0pp0tp0
issue,npu_id=0,curr_cycle=20132,node_id=1108,node_name=COMM_RECV_NODE_BCKWD_iter2_b4_dp0pp0tp0
issue,npu_id=1,curr_cycle=20132,node_id=1312,node_name=COMM_RECV_NODE_FWD_iter0_b4_dp0pp1tp0
issue,npu_id=2,curr_cycle=20132,node_id=2724,node_name=COMM_RECV_NODE_BCKWD_iter0_b4_dp1pp0tp0
issue,npu_id=2,curr_cycle=20132,node_id=3128,node_name=COMM_RECV_NODE_BCKWD_iter1_b4_dp1pp0tp0
issue,npu_id=2,curr_cycle=20132,node_id=3532,node_name=COMM_RECV_NODE_BCKWD_iter2_b4_dp1pp0tp0
issue,npu_id=3,curr_cycle=20132,node_id=3736,node_name=COMM_RECV_NODE_FWD_iter0_b4_dp1pp1tp0
callback,npu_id=0,curr_cycle=20132,node_id=275,node_name=COMM_RECV_NODE_BCKWD_iter0_b3_dp0pp0tp0
callback,npu_id=0,curr_cycle=20132,node_id=679,node_name=COMM_RECV_NODE_BCKWD_iter1_b3_dp0pp0tp0
callback,npu_id=0,curr_cycle=20132,node_id=1083,node_name=COMM_RECV_NODE_BCKWD_iter2_b3_dp0pp0tp0
