[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790935, node->id=772, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11854790935, node->id=773, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790935, node->id=3190, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11854790935, node->id=3191, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790936, node->id=773, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11854790936, node->id=774, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790936, node->id=3191, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11854790936, node->id=3192, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790937, node->id=774, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11854790937, node->id=775, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790937, node->id=3192, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11854790937, node->id=3193, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790938, node->id=775, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11854790938, node->id=776, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790938, node->id=3193, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11854790938, node->id=3194, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790939, node->id=776, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11854790939, node->id=777, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790939, node->id=3194, node->name=COMP_NODE_BCKWD_iter1_b6_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11854790939, node->id=3195, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11854790940, node->id=777, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11854790940, node->id=3195, node->name=COMP_NODE_BCKWD_iter1_b6_attention_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=1, tick=11857916416, node->id=2011, node->name=COMM_SEND_NODE_BCKWD_iter1_b7_dp0pp1tp0, node->type=5
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=1, tick=11857916416, node->id=2012, node->name=COMM_COLL_NODE_DP_All-Reduce_iter1_dp0pp1tp0, node->type=7
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=0, tick=11857916416, node->id=778, node->name=COMM_RECV_NODE_BCKWD_iter1_b7_dp0pp0tp0, node->type=6
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=0, tick=11857916416, node->id=779, node->name=COMP_NODE_BCKWD_iter1_b7_ffwd_compute, node->type=4
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=3, tick=11857916416, node->id=4429, node->name=COMM_SEND_NODE_BCKWD_iter1_b7_dp1pp1tp0, node->type=5
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=3, tick=11857916416, node->id=4430, node->name=COMM_COLL_NODE_DP_All-Reduce_iter1_dp1pp1tp0, node->type=7
[2026-02-15 03:06:56.525] [workload] [debug] callback,sys->id=2, tick=11857916416, node->id=3196, node->name=COMM_RECV_NODE_BCKWD_iter1_b7_dp1pp0tp0, node->type=6
[2026-02-15 03:06:56.525] [workload] [debug] issue,sys->id=2, tick=11857916416, node->id=3197, node->name=COMP_NODE_BCKWD_iter1_b7_ffwd_compute, node->type=4
