[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376524, node->id=1257, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376524, node->id=1281, node->name=COMM_RECV_NODE_FWD_b3_dp1pp1tp0, node->type=6
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376525, node->id=453, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376525, node->id=454, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376525, node->id=1257, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376525, node->id=1258, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376526, node->id=454, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376526, node->id=455, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376526, node->id=1258, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376526, node->id=1259, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376527, node->id=455, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376527, node->id=456, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376527, node->id=1259, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376527, node->id=1260, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376528, node->id=456, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376528, node->id=457, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376528, node->id=1260, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376528, node->id=1261, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376529, node->id=457, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376529, node->id=458, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376529, node->id=1261, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376529, node->id=1262, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376530, node->id=458, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=1, tick=9376530, node->id=459, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=3, tick=9376530, node->id=1262, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] issue,sys->id=3, tick=9376530, node->id=1263, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.679] [workload] [debug] callback,sys->id=1, tick=9376531, node->id=459, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
