[2026-02-15 04:20:08.204] [workload] [debug] callback,sys->id=1, tick=259467868856, node->id=12880, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] issue,sys->id=1, tick=259467868856, node->id=12881, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] callback,sys->id=3, tick=259467868856, node->id=28944, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] issue,sys->id=3, tick=259467868856, node->id=28945, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] callback,sys->id=1, tick=259467868857, node->id=12881, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] issue,sys->id=1, tick=259467868857, node->id=12882, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] callback,sys->id=3, tick=259467868857, node->id=28945, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.204] [workload] [debug] issue,sys->id=3, tick=259467868857, node->id=28946, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.205] [workload] [debug] callback,sys->id=1, tick=259467868858, node->id=12882, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.205] [workload] [debug] issue,sys->id=1, tick=259467868858, node->id=12883, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.205] [workload] [debug] callback,sys->id=3, tick=259467868858, node->id=28946, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.205] [workload] [debug] issue,sys->id=3, tick=259467868858, node->id=28947, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.205] [workload] [debug] callback,sys->id=1, tick=259467868859, node->id=12883, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.206] [workload] [debug] issue,sys->id=1, tick=259467868859, node->id=12884, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.206] [workload] [debug] callback,sys->id=3, tick=259467868859, node->id=28947, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
[2026-02-15 04:20:08.206] [workload] [debug] issue,sys->id=3, tick=259467868859, node->id=28948, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.206] [workload] [debug] callback,sys->id=1, tick=259467868860, node->id=12884, node->name=COMP_NODE_FWD_iter12_b1_ffwd_compute, node->type=4
[2026-02-15 04:20:08.206] [workload] [debug] issue,sys->id=1, tick=259467868860, node->id=12885, node->name=COMP_NODE_FWD_iter12_b1_attention_compute, node->type=4
