[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606086, node->id=29037, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260099606087, node->id=12973, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260099606087, node->id=12974, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=3, tick=260099606087, node->id=29037, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606087, node->id=29038, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260099606088, node->id=12974, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260099606088, node->id=12975, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=3, tick=260099606088, node->id=29038, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606088, node->id=29039, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260099606089, node->id=12975, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260099606089, node->id=12976, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=3, tick=260099606089, node->id=29039, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606089, node->id=29040, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260099606090, node->id=12976, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260099606090, node->id=12977, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=3, tick=260099606090, node->id=29040, node->name=COMP_NODE_FWD_iter12_b4_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606090, node->id=29041, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260099606091, node->id=12977, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260099606091, node->id=12978, node->name=COMM_RECV_NODE_FWD_iter12_b5_dp0pp1tp0, node->type=6
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=3, tick=260099606091, node->id=29041, node->name=COMP_NODE_FWD_iter12_b4_ffwd_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=3, tick=260099606091, node->id=29042, node->name=COMM_RECV_NODE_FWD_iter12_b5_dp1pp1tp0, node->type=6
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=0, tick=260105856567, node->id=4970, node->name=COMM_SEND_NODE_FWD_iter12_b5_dp0pp0tp0, node->type=5
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=0, tick=260105856567, node->id=4995, node->name=COMM_SEND_NODE_FWD_iter12_b6_dp0pp0tp0, node->type=5
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=1, tick=260105856567, node->id=12978, node->name=COMM_RECV_NODE_FWD_iter12_b5_dp0pp1tp0, node->type=6
[2026-02-15 04:20:18.109] [workload] [debug] issue,sys->id=1, tick=260105856567, node->id=12979, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.109] [workload] [debug] callback,sys->id=2, tick=260105856567, node->id=21034, node->name=COMM_SEND_NODE_FWD_iter12_b5_dp1pp0tp0, node->type=5
[2026-02-15 04:20:18.110] [workload] [debug] issue,sys->id=2, tick=260105856567, node->id=21059, node->name=COMM_SEND_NODE_FWD_iter12_b6_dp1pp0tp0, node->type=5
[2026-02-15 04:20:18.110] [workload] [debug] callback,sys->id=3, tick=260105856567, node->id=29042, node->name=COMM_RECV_NODE_FWD_iter12_b5_dp1pp1tp0, node->type=6
[2026-02-15 04:20:18.110] [workload] [debug] issue,sys->id=3, tick=260105856567, node->id=29043, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] callback,sys->id=1, tick=260105856568, node->id=12979, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] issue,sys->id=1, tick=260105856568, node->id=12980, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] callback,sys->id=3, tick=260105856568, node->id=29043, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] issue,sys->id=3, tick=260105856568, node->id=29044, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] callback,sys->id=1, tick=260105856569, node->id=12980, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] issue,sys->id=1, tick=260105856569, node->id=12981, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.110] [workload] [debug] callback,sys->id=3, tick=260105856569, node->id=29044, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
